iter	Passed	Remaining
331	893	1798
332	896	1794
333	898	1791
334	901	1788
335	903	1785
336	906	1783
337	909	1780
338	912	1778
339	914	1775
340	917	1773
341	920	1770
342	922	1767
343	925	1765
344	928	1762
345	930	1759
346	933	1756
347	936	1753
348	938	1751
349	941	1748
350	944	1745
351	946	1742
352	949	1740
353	952	1737
354	954	1734
355	957	1731
356	959	1728
357	962	1725
358	964	1722
359	967	1719
360	970	1717
361	972	1714
362	975	1711
363	977	1708
364	980	1705
365	982	1701
366	985	1699
367	987	1696
368	990	1694
369	993	1691
370	996	1689
371	999	1686
372	1001	1683
373	1004	1681
374	1007	1678
375	1010	1676
376	1012	1673
377	1015	1671
378	1018	1669
379	1021	1666
380	1023	1663
381	1026	1660
382	1028	1657
383	1031	1655
384	1034	1652
385	1037	1649
386	1039	1646
387	1042	1643
388	1044	1641
389	1047	1638
390	1050	1636
391	1053	1634
392	1056	1631
393	1059	1629
394	1062	1627
395	1065	1624
396	1067	1622
397	1070	1619
398	1073	1616
399	1075	1613
400	1078	1610
401	1080	1607
402	1083	1604
403	1086	1602
404	1088	1599
405	1091	1596
406	1093	1593
407	1096	1590
408	1098	1587
409	1101	1584
410	1103	1581
411	1106	1579
412	1109	1576
413	1111	1573
414	1114	1571
415	1117	1568
416	1119	1565
417	1122	1562
418	1124	1559
419	1127	1557
420	1130	1554
421	1133	1552
422	1135	1549
423	1138	1546
424	1140	1543
425	1143	1540
426	1146	1537
427	1148	1535
428	1151	1532
429	1153	1529
430	1156	1526
431	1159	1524
432	1161	1521
433	1164	1518
434	1167	1516
435	1169	1513
436	1172	1510
437	1174	1507
438	1177	1504
439	1180	1501
440	1182	1499
441	1185	1496
442	1187	1493
443	1190	1490
444	1193	1488
445	1195	1485
446	1198	1482
447	1200	1479
448	1203	1477
449	1206	1474
450	1208	1471
451	1211	1468
452	1214	1465
453	1216	1463
454	1219	1460
455	1221	1457
456	1224	1454
457	1226	1451
458	1229	1448
459	1232	1446
460	1234	1443
461	1237	1440
462	1239	1437
463	1242	1434
464	1244	1431
465	1247	1429
466	1249	1426
467	1252	1423
468	1254	1420
469	1257	1418
470	1260	1415
471	1263	1413
472	1265	1410
473	1268	1407
474	1270	1404
475	1273	1401
476	1275	1398
477	1278	1395
478	1280	1392
479	1283	1389
480	1285	1387
481	1287	1384
482	1290	1381
483	1292	1378
484	1295	1375
485	1298	1373
486	1301	1370
487	1304	1368
488	1306	1365
489	1309	1363
490	1312	1360
491	1315	1357
492	1317	1355
493	1320	1352
494	1322	1349
495	1325	1346
496	1327	1343
497	1330	1341
498	1333	1338
499	1335	1335
500	1337	1332
501	1340	1329
502	1342	1326
503	1345	1324
504	1347	1321
505	1350	1318
506	1353	1315
507	1355	1312
508	1358	1310
509	1360	1307
510	1363	1304
511	1365	1301
512	1368	1299
513	1371	1296
514	1373	1293
515	1376	1291
516	1379	1288
517	1382	1286
518	1384	1283
519	1387	1280
520	1389	1277
521	1392	1274
522	1394	1272
523	1397	1269
524	1400	1266
525	1402	1263
526	1405	1261
527	1407	1258
528	1410	1255
529	1412	1252
530	1415	1250
531	1418	1247
532	1420	1244
533	1423	1242
534	1426	1239
535	1429	1237
536	1431	1234
537	1435	1232
538	1439	1231
539	1446	1232
540	1462	1240
541	1473	1245
542	1484	1249
543	1507	1263
544	1520	1269
545	1531	1273
546	1557	1290
547	1579	1303
548	1610	1323
549	1621	1327
550	1650	1344
551	1671	1356
552	1674	1353
553	1678	1351
554	1681	1347
555	1683	1344
556	1686	1341
557	1690	1338
558	1693	1335
559	1696	1332
560	1699	1330
561	1703	1327
562	1706	1324
563	1710	1321
564	1713	1318
565	1717	1316
566	1720	1313
567	1723	1310
568	1726	1307
569	1729	1305
570	1732	1301
571	1736	1299
572	1740	1296
573	1743	1294
574	1749	1292
575	1753	1290
576	1756	1287
577	1760	1285
578	1764	1282
579	1768	1280
580	1772	1278
581	1776	1275
582	1780	1273
583	1783	1270
584	1788	1268
585	1791	1265
586	1795	1263
587	1800	1261
588	1804	1259
589	1808	1257
590	1813	1255
591	1818	1253
592	1822	1251
593	1826	1248
594	1830	1246
595	1835	1243
596	1839	1241
597	1843	1239
598	1848	1237
599	1853	1235
600	1857	1233
601	1862	1231
602	1869	1230
603	1874	1228
604	1879	1227
605	1885	1226
606	1890	1223
607	1906	1229
608	1914	1229
609	1918	1226
610	1922	1223
611	1926	1221
612	1930	1218
613	1934	1216
614	1938	1213
615	1942	1210
616	1944	1207
617	1947	1203
618	1949	1200
619	1952	1196
620	1954	1192
621	1957	1189
622	1959	1185
623	1962	1182
624	1965	1179
625	1967	1175
626	1970	1172
627	1974	1169
628	1977	1166
629	1979	1162
630	1982	1159
631	1984	1155
632	1987	1152
633	1991	1149
634	1994	1146
635	1997	1143
636	2000	1140
637	2003	1137
638	2007	1134
639	2010	1130
640	2013	1127
641	2015	1124
642	2018	1120
643	2021	1117
644	2025	1114
645	2028	1111
646	2032	1109
647	2036	1106
648	2040	1103
649	2043	1100
650	2046	1097
651	2050	1094
652	2054	1091
653	2057	1088
654	2060	1085
655	2065	1082
656	2068	1080
657	2071	1076
658	2074	1073
659	2077	1070
660	2080	1066
661	2084	1064
662	2086	1060
663	2089	1057
664	2092	1054
665	2095	1050
666	2098	1047
667	2101	1044
668	2103	1040
669	2107	1037
670	2110	1034
671	2113	1031
672	2117	1028
673	2120	1025
674	2123	1022
675	2126	1019
676	2130	1016
677	2133	1013
678	2136	1010
679	2139	1006
680	2142	1003
681	2145	1000
682	2148	997
683	2151	994
684	2155	990
685	2158	987
686	2161	984
687	2164	981
688	2168	978
689	2170	975
690	2173	972
691	2177	969
692	2180	965
693	2183	962
694	2186	959
695	2189	956
696	2191	952
697	2194	949
698	2197	946
699	2200	943
700	2203	939
701	2206	936
702	2210	933
703	2213	930
704	2216	927
705	2219	924
706	2223	921
707	2226	918
708	2229	914
709	2231	911
710	2234	908
711	2238	905
712	2241	902
713	2244	898
714	2247	895
715	2251	892
716	2254	890
717	2258	886
718	2261	883
719	2264	880
720	2267	877
721	2271	874
722	2274	871
723	2278	868
724	2282	865
725	2285	862
726	2288	859
727	2292	856
728	2295	853
729	2299	850
730	2302	847
731	2305	844
732	2309	841
733	2312	838
734	2315	835
735	2318	831
736	2322	828
737	2328	826
738	2332	823
739	2335	820
740	2338	817
741	2341	814
742	2346	811
743	2349	808
744	2353	805
745	2357	802
746	2363	800
747	2366	797
748	2370	794
749	2373	791
750	2377	788
751	2380	785
752	2383	781
753	2386	778
754	2389	775
755	2392	772
756	2395	768
757	2398	765
758	2401	762
759	2404	759
760	2408	756
761	2411	753
762	2415	750
763	2418	746
764	2421	744
765	2425	740
766	2428	737
767	2431	734
768	2433	731
769	2436	727
770	2439	724
771	2443	721
772	2446	718
773	2449	715
774	2453	712
775	2456	709
776	2459	705
777	2462	702
778	2465	699
779	2469	696
780	2474	693
781	2477	690
782	2479	687
783	2482	684
784	2485	680
785	2488	677
786	2491	674
787	2495	671
788	2498	668
789	2501	665
790	2504	661
791	2508	658
792	2511	655
793	2515	652
794	2518	649
795	2521	646
796	2524	643
797	2527	639
798	2530	636
799	2533	633
800	2536	630
801	2539	627
802	2543	623
803	2546	620
804	2550	617
805	2553	614
806	2556	611
807	2558	608
808	2562	604
809	2565	601
810	2568	598
811	2571	595
812	2573	592
813	2577	588
814	2580	585
815	2583	582
816	2586	579
817	2589	576
818	2593	573
819	2596	569
820	2599	566
821	2602	563
822	2605	560
823	2609	557
824	2612	554
825	2615	550
826	2619	547
827	2622	544
828	2626	541
829	2628	538
830	2631	535
831	2635	532
832	2638	528
833	2641	525
834	2644	522
835	2647	519
836	2651	516
837	2654	513
838	2658	510
839	2661	506
840	2664	503
841	2667	500
842	2670	497
843	2673	494
844	2677	491
845	2681	488
846	2684	484
847	2687	481
848	2691	478
849	2694	475
850	2697	472
851	2700	469
852	2703	465
853	2707	462
854	2710	459
855	2713	456
856	2716	453
857	2719	450
858	2722	446
859	2725	443
860	2729	440
861	2733	437
862	2736	434
863	2740	431
864	2743	428
865	2746	424
866	2749	421
867	2752	418
868	2755	415
869	2758	412
870	2761	408
871	2764	405
872	2767	402
873	2770	399
874	2773	396
875	2776	393
876	2780	389
877	2783	386
878	2786	383
879	2789	380
880	2792	377
881	2795	374
882	2799	370
883	2802	367
884	2805	364
885	2808	361
886	2811	358
887	2814	354
888	2817	351
889	2820	348
890	2824	345
891	2827	342
892	2830	339
893	2833	335
894	2836	332
895	2839	329
896	2842	326
897	2845	323
898	2848	320
899	2851	316
900	2854	313
901	2857	310
902	2860	307
903	2863	304
904	2865	300
905	2868	297
906	2871	294
907	2875	291
908	2878	288
909	2881	284
910	2884	281
911	2887	278
912	2890	275
913	2894	272
914	2898	269
915	2901	266
916	2905	262
917	2908	259
918	2911	256
919	2915	253
920	2919	250
921	2923	247
922	2926	244
923	2929	240
924	2932	237
925	2935	234
926	2938	231
927	2941	228
928	2944	225
929	2947	221
930	2950	218
931	2953	215
932	2956	212
933	2959	209
934	2962	205
935	2965	202
936	2968	199
937	2972	196
938	2975	193
939	2979	190
940	2983	187
941	2986	183
942	2989	180
943	2992	177
944	2996	174
945	3000	171
946	3003	168
947	3006	164
948	3010	161
949	3013	158
950	3016	155
951	3019	152
952	3022	149
953	3025	145
954	3028	142
955	3031	139
956	3034	136
957	3037	133
958	3041	130
959	3054	127
960	3057	124
961	3060	120
962	3063	117
963	3066	114
964	3069	111
965	3072	108
966	3075	104
967	3078	101
968	3082	98
969	3086	95
970	3090	92
971	3093	89
972	3096	85
973	3101	82
974	3105	79
975	3109	76
976	3112	73
977	3114	70
978	3117	66
979	3120	63
980	3123	60
981	3127	57
982	3130	54
983	3134	50
984	3137	47
985	3140	44
986	3142	41
987	3145	38
988	3149	35
989	3152	31
990	3155	28
991	3158	25
992	3161	22
993	3166	19
994	3169	15
995	3172	12
996	3175	9
997	3179	6
998	3183	3
999	3186	0
